Espacialidades,Taxa de atividade - 18 anos ou mais 2010,Taxa de desocupação - 18 anos ou mais 2010,% da população em domicílios com banheiro e água encanada 2010,% da população em domicílios com coleta de lixo 2010,% da população em domicílios com energia elétrica 2010,Esperança de vida ao nascer 2010,PEA - 18 anos ou mais 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Taxa de analfabetismo - 18 anos ou mais 2010,% de 18 anos ou mais com fundamental completo 2010,Renda per capita 2010,% de pobres 2010
Conceição do Mato Dentro (MG),63.45,7.25,85.54,83.8,95.39,72.65,7517,2.47,58.11,9.92,19.44,33.24,384.42,25.13
Conceição do Pará (MG),65.79,5.06,99.79,98.31,99.4,75.97,2476,2,48.35,10.57,9.74,40.34,576.48,4.69
Conceição do Rio Verde (MG),68.87,5.58,99.42,98.87,99.79,75.01,6253,2.45,52.02,9.55,13.99,38.68,533.38,12.18
Conceição dos Ouros (MG),69.1,2.84,86.36,100,99.85,75.49,5082,2.35,45,7.54,7.28,43.15,509.52,8.36
Cônego Marinho (MG),66.32,14.33,66.93,70.92,96.67,72.96,3058,1.86,59.64,8.94,20.65,36.02,245.64,42.33
Confins (MG),75.05,6.27,99.35,98.3,99.9,74.79,3206,1.6,42.56,7.28,5.22,58.01,647.2,5.7
Congonhal (MG),67.28,2.84,97.65,99.6,99.84,75.81,5350,1.56,40.95,9.47,10.52,41.55,553.81,8.81
Congonhas do Norte (MG),37.16,6.67,75.11,70.25,93.26,69.74,1209,1.85,60.12,10.42,28.81,26.78,270.3,37.79
Congonhas (MG),65.82,8.99,96.41,98.88,99.81,77.59,23116,1.79,40.37,6.39,4.76,57.05,760.35,6.67
Conquista (MG),66.02,3.3,99.65,97.88,99.86,77.59,3148,2.29,44.09,9.15,11.06,48.12,678.21,5.23
Conselheiro Lafaiete (MG),64.51,7.55,99.29,98.07,99.9,76.62,55976,1.79,39.44,7.64,3.72,60.26,781.59,5.95
Conselheiro Pena (MG),55.53,7.01,98.64,93.54,99.45,75.24,8672,2.18,52.48,10.11,17.41,35.79,445.95,20.52
Consolação (MG),64.79,5.11,98.96,100,100,73.36,820,2.02,52.02,12.45,13.73,33.13,395.33,13.17
Contagem (MG),71.95,6.95,97.52,99.57,99.95,74.94,318908,1.77,37.8,5.97,3.74,62.3,824.3,4.81
Coqueiral (MG),66.81,4.83,99.78,99.72,100,75.26,4408,1.68,48.81,9.71,8.96,38.11,495.77,13.64
Coração de Jesus (MG),68.53,8.35,73.79,55.76,97.68,73.48,12099,2.48,52.28,8.34,19.62,36.65,287.28,35.73
Cordisburgo (MG),61.83,4.67,92.9,92.67,99.49,72.17,4005,1.83,44.28,10.95,11.52,38.22,440.09,15.81
Cordislândia (MG),63.54,3.08,99.54,100,99.71,73.39,1499,2.41,50.72,8.73,14.99,34.57,468.59,10.4
Corinto (MG),56.04,7.74,88.58,94.76,99.45,75.49,9523,2.09,50.54,9.89,10.75,43.05,499.56,18.29
Coroaci (MG),58.87,4.95,86.02,90.88,98.11,73.64,4163,1.69,55.54,11.58,16.74,32.25,362.9,29.36
Coromandel (MG),68.6,3.42,96.56,95.5,98.56,76.57,13992,2.26,41.9,8.68,8.59,41.09,753.35,3.75
Coronel Fabriciano (MG),64.1,9.98,97.67,98.36,99.84,76.88,48082,1.85,42.5,7.39,6.45,58.57,685.48,7.92
Coronel Murta (MG),65.33,10.34,82.15,84.89,98.17,72.05,4133,2.16,53.93,9.97,21.29,34.1,291.66,36.56
Coronel Pacheco (MG),61.09,5.69,99.65,98.94,99.63,72.36,1377,1.7,43,10.73,12.18,39.79,525.62,8.94
Coronel Xavier Chaves (MG),52.39,4.54,99.26,99.63,99.65,74.4,1280,1.35,44.21,9.57,6.38,37.94,518.32,16.3
Córrego Danta (MG),59.73,1.3,96.51,98.61,99.7,75.61,1535,1.98,48.53,12.92,9.65,39.83,561.81,7.99
Córrego do Bom Jesus (MG),59.88,2.79,99.02,100,100,75.4,1746,1.79,47.31,14.85,12.77,38.37,501.15,8.77
Córrego Fundo (MG),65.36,6.79,96.26,94.36,99.93,72.67,2826,1.7,41.08,8.57,10.02,38.03,477.36,4.37
Córrego Novo (MG),48.39,3,96.96,98.88,97.57,73.32,1062,2.28,50.77,9.82,23.01,30.03,327.06,21.98
Couto de Magalhães de Minas (MG),54.35,14.79,96.35,93.48,99.85,73.4,1546,1.91,51.82,8.99,12.52,42.74,333.91,26.08
Crisólita (MG),57.76,7.42,44.81,93.66,90.05,72.96,2244,3.01,62.03,9.53,38.27,25.17,294.11,35.67
Cristais (MG),72,3.07,99.09,99.51,99.66,76.54,5935,2.18,46.21,9.71,10.4,36.09,780.18,7.92
Cristália (MG),61.21,12.47,73.77,77.98,92.3,72.71,2030,3.06,64.85,4.97,21.74,34.85,200.51,46.63
Cristiano Otoni (MG),65.33,10.32,98.83,97.89,100,74.39,2285,1.8,46.57,7.63,6.49,41.86,458.68,15.04
Cristina (MG),63.89,4.69,99.7,100,99.54,75.53,4766,1.87,45.34,9.83,9.94,35.44,442.25,14.64
Crucilândia (MG),63.15,2.8,99.56,99.27,99.94,73.97,2239,1.66,47.05,11.18,14.61,29.48,464.17,14.22
Cruzeiro da Fortaleza (MG),70.32,5.9,99.72,99.67,99.92,74.94,1908,2.4,50.04,7.98,11.65,38.25,707.8,8.98
Cruzília (MG),67.32,7.14,99.04,99.47,100,76.17,7107,1.72,46.92,9.95,11.09,39.61,520.72,11.26
Cuparaque (MG),53.8,8.11,94.86,95.5,99.65,72.85,1744,2.44,50.58,8.44,23.1,31.73,381.64,20.18
Curral de Dentro (MG),54.24,11.73,81.92,87.65,98.4,70.51,2409,2.65,58.99,7.52,26.6,27.69,279.64,39.98
Curvelo (MG),65.96,9.9,92.4,96.73,99.53,76.05,35165,1.85,46.41,8.72,8.35,47.95,581.65,12.1
Datas (MG),64.41,7.51,96.7,94.93,98.83,70.36,2252,1.91,53.67,8.56,11.62,33.13,313.84,24.02
Delfim Moreira (MG),64.59,2.49,98.54,99.51,99.31,75.2,3662,1.79,46.07,8.63,9.82,37.74,454.36,16.69
Delfinópolis (MG),63.42,1.24,99.77,99.79,99.34,77.31,3093,2.25,46.72,8.92,11.01,49.56,632.28,3.6
Delta (MG),65.27,6.3,99.38,99.62,99.88,73.46,3634,2.34,43.4,4.2,13.92,32.32,523.34,5.63
Descoberto (MG),60.5,4.85,86.95,99.48,100,72.85,2145,1.7,46.35,11.18,9.02,36.71,477.97,13.08
Desterro de Entre Rios (MG),50.24,2.74,89.71,97.03,99.53,73.14,2643,1.43,47.53,12.65,15.22,28.48,348.88,22.07
Desterro do Melo (MG),71.57,4.99,92.35,99.45,99.56,73.53,1629,1.46,44.12,11.28,18.76,25.36,373.25,24.83
Diamantina (MG),67.12,7.74,91.78,88.14,99.07,75.33,21425,1.98,46.32,7.73,9.97,51.33,597.41,16.65
Diogo de Vasconcelos (MG),50.5,9.11,93.94,98.84,99.62,73.63,1337,1.89,58.75,13.25,18.87,22.69,291.48,33.72
Dionísio (MG),61.82,12.6,97.9,98.43,99.37,74.24,3994,1.6,46.82,11.12,12.43,40.03,461.02,13.98
Divinésia (MG),62.41,5.01,99.8,99.49,98.87,72.11,1453,2.29,49.14,9.75,9.91,35.1,441.49,11.13
Divino das Laranjeiras (MG),52.15,7.35,97.98,84.95,99.49,73.64,1825,2.26,54.47,11.75,19.82,35.94,388.4,19.09
Divinolândia de Minas (MG),64.63,9.12,85.48,83.58,99.29,73.72,3037,1.69,54.07,8.98,15.08,33.52,340.1,23.81
Divino (MG),62.08,2.62,98.78,97.78,99.71,74.36,8200,2,51.56,8.37,15.04,27.8,426.94,23.79
Divinópolis (MG),71.67,3.94,99.28,99.24,99.9,75.63,114536,1.72,38.2,7.56,3.99,59.31,868.57,2.67
Divisa Alegre (MG),66.42,11.65,79.93,97.6,98.65,68.39,2456,2.66,57.33,5.9,24.22,34.14,341.94,30.54
Divisa Nova (MG),66.4,2.97,99.45,99.15,99.65,73.03,2669,2.46,52.86,9.82,14.92,34.31,484.91,9.21
Divisópolis (MG),64.02,10.83,88.41,97.75,98.17,73.1,3932,2.46,49.74,8,27.89,31.11,290.45,32.95
Dom Bosco (MG),65.91,4.71,93.52,99.2,96.44,73.88,1717,2.71,48.35,7.68,17.04,36.42,394.72,18.86
Dom Cavati (MG),60.28,6.03,98.84,97.39,99.91,72.03,2277,1.94,54.57,12.9,13.33,39.32,485.9,13.21
Dom Joaquim (MG),57.61,4.23,78.62,87.1,81.23,74.12,1783,2.13,57.74,11.44,18.1,28.65,355.58,28.58
Dom Silvério (MG),63.57,6.18,99.06,98.81,100,75.8,2525,1.52,50.57,14.93,10.53,38.72,488.84,8.82
Dom Viçoso (MG),56.04,6.52,98.77,100,100,74.12,1246,1.97,45.48,10.89,10.79,36.35,371.63,19.91
Dona Eusébia (MG),69.27,2.24,99.14,99.25,99.94,75.45,3019,1.64,44.5,8.93,9.2,39.96,563.76,5.57
Dores de Campos (MG),66.21,2.71,97.42,97.95,99.77,74.4,4613,1.88,39.94,8.12,7.5,40.22,520.98,6.64
Dores de Guanhães (MG),55.29,4.26,85.4,95.8,98.32,74.26,1993,2.16,56.56,11.05,20.74,29.61,361.09,27.63
Dores do Indaiá (MG),64.67,4.39,98.05,99.66,99.78,75.4,6683,2.28,50.69,13.51,11.72,45.67,663.62,6.62
Dores do Turvo (MG),51.06,5.16,99.5,98.68,99.3,74.75,1617,1.66,50.34,11.27,16.25,27.82,363.3,28.52
Doresópolis (MG),64.05,4,97.24,99.53,99.87,77.11,668,2,42.72,8.19,6.97,44.82,461.8,11.8
Douradoquara (MG),77.15,6.47,87.33,100,100,75.84,1091,2.28,41.29,10.27,7.81,39.86,640.34,4.33
Durandé (MG),70.41,2.45,99.05,93.05,99.74,75.54,3471,2.32,52.89,7.11,19.45,30.1,392.68,18.62
Elói Mendes (MG),66.07,4.27,94.54,99.45,99.76,75.26,11935,1.9,46.41,8.3,12.07,42.4,577.5,10.46
Engenheiro Caldas (MG),56.23,7.44,96.69,97.55,99.91,73.91,3909,1.94,54.89,8.94,19.63,33.44,407.77,21.72
Engenheiro Navarro (MG),64.12,9.12,95.1,92.83,99.64,72.44,3119,1.97,49.94,7.69,18.97,40.37,332.37,22.65
Entre Folhas (MG),53.14,12.65,99.46,96.37,99.63,72.5,1958,1.65,52.07,10.98,15.36,30.81,373.1,23.07
Entre Rios de Minas (MG),57.09,5.8,94.1,98.61,99.29,73.14,6010,1.57,44.53,9.96,8.51,38.54,527.33,15.36
Ervália (MG),67.25,2.59,98.75,99.03,99.92,74.7,8690,1.81,46.35,8.84,16.09,28.72,429.35,17.66
Esmeraldas (MG),68.32,7.08,92.92,89.39,99.1,74.31,27350,2.25,49.99,6.37,9.28,40.82,452.62,14.04
Espera Feliz (MG),66.49,3.87,98.56,99.37,100,75.77,10704,1.88,46.88,7.86,14.82,34.69,496.04,17.27
Espinosa (MG),62.21,8.52,72.32,85.45,97.05,73.26,13377,1.8,50.2,8.74,25.32,35.82,299.13,29.03
Espírito Santo do Dourado (MG),72.46,0.78,98.01,99.83,99.89,75.81,2453,1.39,43.19,10.63,11.87,33.4,486.55,8.25
Estiva (MG),73.69,1.47,99.16,100,99.91,75.9,5945,1.78,42.89,9.68,9.72,34.27,547.01,4.87
Estrela Dalva (MG),63.44,5.61,99.15,99.67,99.61,77.04,1146,2.56,47.64,11.9,17.54,36.76,701.83,12.53
Estrela do Indaiá (MG),57.97,6.14,99.08,94.2,100,77.49,1509,2.29,49.17,12.46,14.35,32.11,547.21,8.82
Estrela do Sul (MG),70.05,5.56,97.25,94.9,99,75.4,3818,2.28,44.69,8.85,12.13,41.72,600.41,5.45
Eugenópolis (MG),61.42,4.87,99.87,99.54,99.95,75.77,4874,1.89,44.76,10.81,12.76,38.55,486.46,15.77
Ewbank da Câmara (MG),55.9,3.88,98.77,99.91,99.61,74.37,1476,1.57,45.75,7.49,11.14,40.71,391.34,8.51
Extrema (MG),73.39,3.95,95.64,99.41,99.96,75.95,15288,1.93,42.21,7.87,6.6,50.78,745.21,2.36
Fama (MG),68.71,1.93,100,99.88,99.78,76.77,1232,1.93,46.24,12.89,10.51,42.59,624.24,7.5
Faria Lemos (MG),65.17,5.88,97.77,100,99.51,73,1592,2.01,53.18,11.97,15.3,43.8,544.77,13
Felício dos Santos (MG),62.47,3.62,88.2,91.03,99.52,72.61,2080,1.97,62.26,10.56,19.11,27.79,274.2,37.83
Felisburgo (MG),58.27,9.62,60.84,91.81,96.31,69.66,2650,2.67,60.9,11.01,30.06,28.12,290.8,35.86
Felixlândia (MG),66.64,8.94,90.8,97.64,98.78,73.9,6680,2.08,47.32,8.77,10.96,35.08,459.52,12.69
Fernandes Tourinho (MG),56.24,4.9,95.87,91.35,99.28,73.43,1206,1.76,53.03,11.82,23.73,35.3,351.58,21.27
Ferros (MG),56.75,5.45,82.82,62.45,95.1,74.24,4341,2.01,56.69,12.78,23.1,22.66,392.08,27.17
Fervedouro (MG),55.19,6.45,97.91,97.52,99.02,72.73,3885,2.46,49.57,6.36,16.12,22.75,301.55,31.07
Florestal (MG),74.06,5.17,99.3,97.95,100,75.69,3518,1.63,44.71,9.7,6.93,48.41,741.46,6.58
Formiga (MG),65.37,3.27,98.37,99.18,99.94,77.43,32283,1.39,40.5,9.76,6.48,50.7,746.8,4.91
Formoso (MG),66.51,10.74,80.69,89.34,88.37,75.04,3552,2.66,51.45,6.32,21.35,38.17,370.41,30.59
Fortaleza de Minas (MG),62.23,2.01,99.17,100,99.77,73.31,1846,2.05,46.04,8.98,9.63,42.27,562.53,9.29
Fortuna de Minas (MG),72.26,7.12,96.63,99.12,100,75.7,1393,1.92,48.54,8.98,9.19,44.01,459.52,10.45
Francisco Badaró (MG),65.94,7.47,62.11,94.64,97.21,72.57,4833,1.62,47.73,10.3,24.06,29.9,286.56,33
Francisco Dumont (MG),69.47,6.08,83.84,84.18,98.48,72.8,2231,2.61,54.09,7.63,20.46,32.34,326.7,24.43
Franciscópolis (MG),59.01,4.94,64.47,95.5,94.91,73.14,2237,2.41,60.62,9.36,33.19,27.59,296.76,35.93
Francisco Sá (MG),59.98,7.64,74.09,82.64,97.72,73.48,10176,2.36,50.75,7.91,22.58,35.92,344.32,31.55
Frei Gaspar (MG),58.39,3.99,82.83,90.17,97.43,72.96,2279,2.9,61.42,10.29,31.04,27.93,275.62,30.53
Frei Inocêncio (MG),61.43,10.23,94.07,96.88,98.15,71.72,3659,2.09,55.21,8.81,19.13,39.46,389.61,21.44
Frei Lagonegro (MG),45.93,3.65,61.6,94.19,99.33,69.96,1016,2.46,57.4,8.71,24.3,21.56,201.83,50.13
Fronteira dos Vales (MG),49.6,8.25,83.5,84,95.25,73.8,1541,2.61,59.58,11.33,33.76,29.26,255.11,35
Fronteira (MG),68.19,6.54,98.15,98.99,99.84,77.28,6708,2.56,44.08,6.45,11.17,42.3,598.68,4.51
Fruta de Leite (MG),65.09,6.52,56.15,82.34,95.08,72.5,2377,2.3,69.09,9.01,37.41,20.62,241.93,38.78
Frutal (MG),66.66,4.19,96.36,99.24,99.84,76.92,26617,2.15,40.73,8.4,6.86,48.73,752.01,5.28
Funilândia (MG),53.94,7.25,91.6,98.19,99.77,75.66,1411,2.33,52.49,8.69,13.96,35.12,360.59,20.55
Galiléia (MG),54.26,7.89,97.93,82.27,99.19,72.71,2603,2.27,53.21,9.8,20.79,33.38,442.14,17.06
Gameleiras (MG),63.24,8.64,75.2,70.51,96.73,72.74,2209,1.95,48.06,7.57,27.77,36.64,258.85,43.87
Glaucilândia (MG),65.69,13.2,83.25,94.94,99.56,73.72,1360,1.96,52.92,9.79,14,41.76,293.97,28.58
Goiabeira (MG),50.4,6.84,98.13,91.18,99.78,72.91,1082,1.81,48.85,9.34,23.95,34.65,398.14,22.82
Goianá (MG),63.09,6.33,99.7,100,100,75.1,1728,2.13,49.1,12.19,11.15,47.27,558.09,11.13
Gonçalves (MG),66.86,2.1,98.33,100,99.46,74.96,2066,2.12,46.78,10.14,14.08,34.03,519.03,10.76
Gonzaga (MG),52.62,14.03,83.24,95.58,99.43,71.44,2049,1.69,57.18,8.29,21.28,28.16,258.04,39.93
Gouveia (MG),60.79,5.81,95.86,99.13,98.7,74.98,5041,1.47,45.59,8.78,9.11,42.05,382.78,20.51
Governador Valadares (MG),65.34,9.53,98,98.1,99.87,75.06,122810,2.05,46.07,8.12,8.06,54.91,678.74,9.97
Grão Mogol (MG),65.56,8.07,67.73,95.66,95.59,72.44,6387,2.3,53.81,6.75,20.67,30.55,293.87,32.35
Grupiara (MG),66.44,3.12,98.52,99.6,100,75.64,695,2.4,47.48,12.31,8.27,46.97,548.38,5.37
Guanhães (MG),67.57,7.92,91.89,96.74,98.84,74.22,14642,1.62,48.94,8.29,12.88,40.41,560.99,18.2
Guapé (MG),66.59,2.82,99.48,99.8,99.6,74.86,6721,1.84,44.39,8.58,9.1,37.15,487.68,7.41
Guaraciaba (MG),61.55,1.91,84.11,99.34,98.55,72.61,4712,1.57,48.55,12.07,18.89,28.28,373.48,23.01
Guaraciama (MG),65.2,4.15,91.68,97.54,98.35,73.4,2137,1.99,46.61,7.63,18.93,43.96,306.99,23.9
Guaranésia (MG),69.26,3.97,99.77,99.27,100,75.7,9485,1.89,43.58,9.01,11.95,42.84,598.17,5.77
Guarani (MG),63.82,4.64,97.69,99.38,99.37,75.96,4117,1.92,46.24,11.35,12.5,37.69,568.73,12.13
Guarará (MG),61.89,6.27,98.45,100,100,73.1,1758,2.23,47.54,10.18,9.19,36.44,457.9,11.42
Guarda-Mor (MG),69.25,5.06,94.61,99.9,98.49,74.76,3155,2.56,46.12,6.85,11.39,39.45,660.72,10.15
Guaxupé (MG),67.62,4.62,99.5,99.39,99.98,77.81,24944,1.55,41.45,9.09,6.33,52.35,746.7,4.21
Guidoval (MG),62.49,2.38,98.53,99,99.9,75.22,3312,1.98,46.55,11.35,11.71,35.81,512.85,6.56
Guimarânia (MG),63.62,5.43,97.82,99.69,100,74.51,3271,2.28,48.17,9.06,9.7,42.75,552.31,9.63
Guiricema (MG),57.16,2.82,99.23,98.51,100,73.74,3775,1.59,45.75,11.94,13.58,32.78,469.56,13.1
Gurinhatã (MG),64.8,3.6,95.37,98.94,97.46,76.88,2991,2.56,50.09,13.25,15.66,33.27,587.76,10.42
Heliodora (MG),59.57,1.32,99.88,99.83,99.93,74.29,2653,1.98,45.6,9.36,13.81,35.18,474,8.98
Iapu (MG),49.44,5.3,98.01,97.9,99.88,74.12,3593,2.16,50.65,10.07,17.59,30.6,427.85,19.37
Ibertioga (MG),56.61,4.68,98.04,96.22,99.94,75.01,2064,2.32,45.76,9.23,14.97,30.55,347.21,22.03
Ibiaí (MG),60.14,6.94,75.37,78.62,96.23,72.71,3080,2.83,54.04,7.17,20.28,31.18,269.24,36.3
Ibiá (MG),66.59,5.32,94.7,99.53,99.39,77.62,11268,2.16,42.5,7.8,6.83,41.06,781.68,6.28
Ibiracatu (MG),52.08,15.17,71.06,88.24,98.33,72.17,2046,2.11,60.04,9.28,28.18,27.29,225.72,44.38
Ibiraci (MG),70.77,1.84,97.5,99.89,99.51,76.28,6035,2.01,44.92,7.08,10.03,45.09,609.71,3.99
Ibirité (MG),68.96,7.58,98.51,98.21,99.84,75.41,74646,1.74,43.84,4.24,6.37,48.58,525.64,7.9
Ibitiúra de Minas (MG),69.91,1.74,96.95,99.68,100,73.14,1738,1.87,44.59,10.29,12.16,36.4,479.81,12.15
Ibituruna (MG),57.31,4.51,99.65,99.56,100,74.39,1137,2.18,52.69,9.73,11.41,39.42,426.36,11.53
Icaraí de Minas (MG),67.61,6.7,58.89,84.59,98.23,72.96,4682,2.23,53.6,6.63,16.9,38.44,277.4,37.63
Igarapé (MG),65.77,6.47,97.52,94.7,100,75.63,15808,2.21,46.56,6.44,7.82,45.76,570.58,10.82
Igaratinga (MG),68.81,2.37,99.55,98.78,99.72,75.54,4482,1.83,43.18,6.48,7.62,29.87,556.96,5.32
Iguatama (MG),62.15,5.14,99.58,98.35,99.86,74.51,3833,1.68,37.6,9.35,5.85,47.02,604.59,3.63
Ijaci (MG),62.68,5.3,99.24,96.23,99.95,75.37,2616,1.84,45.53,8.09,7.36,46.65,495.95,7.03
Ilicínea (MG),68.14,2.11,99.51,99.58,100,74.61,5511,1.97,47.85,8.48,10.14,37.68,500.79,6.93
Imbé de Minas (MG),57.42,3.9,93.51,96.42,99.51,69.66,2511,2.45,52.19,7.91,18.6,18.5,281.68,29.74
Inconfidentes (MG),67.4,2.47,97.66,99.91,99.91,75.59,3507,1.41,40.26,8.93,9.07,37.61,579.13,9.37
Indaiabira (MG),66.03,5.64,60.63,90.41,94.31,73.26,3189,1.93,55.89,9,35.35,24.96,286.93,34.04
Indianópolis (MG),64.81,2.03,91.33,98.13,99.95,75.06,2793,2.54,45.65,6.69,11.82,36.87,499.36,8.16
Ingaí (MG),66.23,3.69,99.32,98.57,100,76.45,1229,2.41,43.43,8.6,8.7,39.34,602.08,8.11
Inhapim (MG),59.87,6.08,97.85,80.08,98.41,74.72,10381,1.87,50.8,10.6,16.3,32.33,434.81,22.35
Inhaúma (MG),68.37,6.04,96.29,98.65,99.81,75.71,2796,1.75,45.56,7.78,9.14,47.92,477.55,10.65
Inimutaba (MG),66.37,7.77,94.49,97.6,99.34,73.61,3132,2.05,48.66,9.35,13.32,36.49,389.93,17.97
Ipaba (MG),62.69,13.68,97,98.68,98.43,74.72,6984,2.14,51.27,6.78,12.67,40.92,403.9,15.13
Ipanema (MG),60.89,6.71,98.57,98.57,99.19,75.87,8049,1.88,48.96,10.86,15.06,38.7,518.1,17.14
Ipatinga (MG),65.23,8.77,98.72,99.85,99.93,76.85,114199,1.61,38.81,6.26,5.3,62.54,862.91,5.92
Ipiaçu (MG),57.65,4.2,99.92,100,100,73.82,1763,2.51,46.1,10.96,16.92,40.08,550.98,6.43
Ipuiúna (MG),68.19,3.15,99.06,99.34,99.76,76.98,4827,2.15,40.14,8.26,12.65,31.59,719.24,7
Iraí de Minas (MG),70.11,2.42,97.13,99.41,100,75.84,3204,2.47,45.42,7.38,9.21,38.66,642.98,6.02
Itabira (MG),68.28,10.36,96.96,98.69,99.81,77.37,54886,1.85,41.18,7.4,6.69,57.56,744.61,7.46
Itabirinha (MG),54.36,7.84,95.99,96.72,99.47,75.3,4152,1.99,49.81,9.64,21.79,38.09,390.33,23.94
Itabirito (MG),67.74,7.05,99.38,99.21,99.94,74.68,22545,1.46,41.24,7.34,4.23,56.12,784.55,3.08
Itacambira (MG),57.34,5.44,69.12,89.06,96.27,72.44,1943,1.85,48.81,8,17.5,41.08,277.92,39.05
Itacarambi (MG),60.19,14.35,90.86,97.48,97.32,72.22,6651,2.35,61.38,7.08,19.43,41.1,321.22,31.15
Itaguara (MG),71.22,2.17,94.95,99.66,99.96,75.14,6532,1.69,44.31,10.11,8.57,37.36,610.65,7.29
Itaipé (MG),70.6,4.75,72.25,94.2,96.29,70.52,5162,2.71,63.36,7.01,27.2,26.48,277.8,35.21
Itajubá (MG),65.21,6.09,98.17,99.73,99.92,78.06,43980,1.58,41.53,8.69,4.14,64.53,948.2,4.98
Itamarandiba (MG),70.98,5.53,80.82,87,97.8,72.86,14683,2.17,54.95,6.87,20.55,38.61,374.21,27.56
Itamarati de Minas (MG),66.54,4.14,99.74,100,100,75.45,2111,1.33,39.55,10.91,7.94,39.57,540.7,4.13
Itambacuri (MG),61.07,9.59,79.16,91.63,97.39,72.05,9282,2.2,60.68,10.54,23.02,35.85,370.48,27.31
Itambé do Mato Dentro (MG),51.32,2.11,95.43,97.15,99.53,74.39,855,1.87,49.12,12.18,20.41,30.26,345.17,24.3
Itamogi (MG),65.79,2.43,99.94,99.66,99.92,73.61,5084,2.09,43.24,9.69,11.38,35.13,502.2,10.58
Itamonte (MG),67.67,4.28,99.28,99.44,98.96,76.17,6988,2.15,42.13,8.2,6.38,45.64,604.91,7.56
Itanhandu (MG),68.77,6.45,99.59,99.61,99.84,77.23,7204,1.71,42.01,8.68,4.88,50.3,706.47,6.52
Itanhomi (MG),52.34,6.17,98.05,95.65,99.54,74.85,4422,1.95,52.08,10.8,18.76,32.49,474.77,21.76
Itaobim (MG),60.53,9.2,80.26,98.09,98.63,72.19,8584,1.9,56.49,9.93,22.6,35.57,362.88,30.77
Itapagipe (MG),65.79,3.97,93.89,99.74,99.74,76.64,7022,1.5,37.2,9.23,6.84,44.45,741.95,5.28
Itapecerica (MG),58.49,3.23,97.2,99.43,99.73,75.73,9515,1.63,45.64,12.29,11.71,44.07,594.71,8.1
Itapeva (MG),60.6,5.34,98.66,99.17,99.59,77.69,3857,1.84,42.85,8.52,10.97,44.68,620.04,5.63
Itatiaiuçu (MG),64.11,5.98,98.83,99.52,99.43,75,4443,2.01,47.06,7.62,10.23,37.46,490.54,7.45
Itaú de Minas (MG),63.16,6.68,99.44,99.81,100,76.74,7002,1.94,41.82,8.87,5.24,55.63,913.39,4.09
Itaúna (MG),70.07,6.16,98.41,99.97,99.98,76.02,44675,1.74,39.19,7.7,4.42,54.78,847.74,2.75
Itaverava (MG),65.18,2.87,91.14,89.39,99.36,73.63,2622,2.03,50.55,9.36,16.82,28.46,363.06,25.72
Itinga (MG),56.65,12.82,61.91,94.39,96.65,72.83,5360,2.25,61.89,9.94,24.12,28.49,260,39.99
Itueta (MG),58.03,4.55,92.98,97.66,99.72,74.51,2432,2.03,49.18,10.93,16.41,25.01,429.77,22.64
Ituiutaba (MG),68.03,5.55,97.87,99.4,99.87,75.37,49666,2.27,43.7,10.47,8.94,51.25,824.46,4.16
Itumirim (MG),51.05,6.75,97.75,98.36,99.96,75.39,2301,1.53,44.79,9.95,6.29,48.27,533.39,11.97
Iturama (MG),69.42,4.85,93.79,99.41,99.82,75.88,17392,2.34,41.35,7,9.23,52.13,753.23,3.7
Itutinga (MG),60.11,6.29,98.29,98.63,99.94,77.67,1734,2.26,43.54,9.69,6.9,45.11,634.33,15.58
Jaboticatubas (MG),63.79,4.8,91.19,86.71,99.79,75.19,7806,2,50.66,10.52,11.53,37.29,602.48,15.21
Jacinto (MG),53.89,7.45,76.03,85.53,94.97,73.4,4544,2.57,56.02,11.17,29.39,29.09,325.42,28.53
Jacuí (MG),67.46,3.07,99.3,98.5,99.75,73.61,3708,1.75,47.5,10.34,11.32,32.04,558.14,8.24
Jacutinga (MG),76.55,1.67,99.39,99.77,99.48,76.82,12777,2.03,42.89,8.21,7.52,46.51,717.25,5.12
Jaguaraçu (MG),59.97,6.5,98.5,100,99.41,76.35,1312,1.87,44.31,8.43,10.95,38.99,508.65,9.79
Jaíba (MG),70.19,5.61,83.1,92.1,96.33,72.33,14878,2.45,53.15,4.55,20.02,36.46,376.73,20.28
Jampruca (MG),55.69,5.62,86.35,73.58,95.92,71.86,1881,2.11,59.44,10.07,24.76,29.61,344.6,28.48
Janaúba (MG),68.28,10.16,88.43,92.98,99.43,72.74,30680,2.05,48.38,6.43,15.42,47.52,468.29,18.98
Januária (MG),58.66,8.11,76.34,71.73,97.22,74.22,24731,2.27,56.81,8.28,18.95,44.49,359.19,34.35
Japaraíba (MG),69.15,3.84,99.82,99.27,100,75.62,1915,1.87,43.71,5.89,7.51,45.29,541.09,6.88
Japonvar (MG),68.33,4.78,74.16,88.47,97.35,72.17,3694,2.11,53.13,8.05,24.38,32.91,254.77,37.13
Jeceaba (MG),44.53,6.99,84.86,92.82,98.94,75.66,1775,1.47,44.02,10.03,8.53,32.95,401.99,23.27
Jenipapo de Minas (MG),62.49,6.16,68.6,90.69,98.95,72.59,2867,2.05,54.63,7.05,25.5,32.88,309.77,28.11
